System-Time,NVPMODEL-POWER_MODE,CPU0-STATE,CPU0-CURR_FREQ,CPU0-CURR_LOAD,CPU1-STATE,CPU1-CURR_FREQ,CPU1-CURR_LOAD,CPU2-STATE,CPU2-CURR_FREQ,CPU2-CURR_LOAD,CPU3-STATE,CPU3-CURR_FREQ,CPU3-CURR_LOAD,CPU4-STATE,CPU4-CURR_FREQ,CPU4-CURR_LOAD,CPU5-STATE,CPU5-CURR_FREQ,CPU5-CURR_LOAD,IGPU0-CURR_FREQ,IGPU0-CURR_LOAD,EMC-CURR_FREQ,EMC-CURR_LOAD,MEM-USED_SIZE,MEM-TOTAL_SIZE,MEM-CURR_LOAD,SWAP-USED_SIZE,SWAP-TOTAL_SIZE,SWAP-CURR_LOAD,dla0-STATE,dla0-CURR_FREQ,dla1-STATE,dla1-CURR_FREQ,pva-STATE,pva-CURR_FREQ,nvdec-STATE,nvdec-CURR_FREQ,nvenc-STATE,nvenc-CURR_FREQ,nvjpg0-STATE,nvjpg0-CURR_FREQ,nvjpg1-STATE,nvjpg1-CURR_FREQ,se-STATE,se-CURR_FREQ,ape-STATE,ape-CURR_FREQ,cpu-thermal-CURR_TEMP,cpu-thermal-SW_THROTTLING_TEMP,cpu-thermal-SW_SHUTDOWN_TEMP,cv0-thermal-CURR_TEMP,cv0-thermal-SW_THROTTLING_TEMP,cv0-thermal-SW_SHUTDOWN_TEMP,cv1-thermal-CURR_TEMP,cv1-thermal-SW_THROTTLING_TEMP,cv1-thermal-SW_SHUTDOWN_TEMP,cv2-thermal-CURR_TEMP,cv2-thermal-SW_THROTTLING_TEMP,cv2-thermal-SW_SHUTDOWN_TEMP,gpu-thermal-CURR_TEMP,gpu-thermal-SW_THROTTLING_TEMP,gpu-thermal-SW_SHUTDOWN_TEMP,soc0-thermal-CURR_TEMP,soc0-thermal-SW_THROTTLING_TEMP,soc0-thermal-SW_SHUTDOWN_TEMP,soc1-thermal-CURR_TEMP,soc1-thermal-SW_THROTTLING_TEMP,soc1-thermal-SW_SHUTDOWN_TEMP,soc2-thermal-CURR_TEMP,soc2-thermal-SW_THROTTLING_TEMP,soc2-thermal-SW_SHUTDOWN_TEMP,tj-thermal-CURR_TEMP,tj-thermal-SW_THROTTLING_TEMP,tj-thermal-SW_SHUTDOWN_TEMP,VDD_IN-WARN_CURRENT,VDD_IN-CRIT_CURRENT,VDD_IN-IN_VOLTAGE,VDD_IN-IN_CURRENT,VDD_IN-IN_POWER,VDD_IN-AVG_POWER,VDD_CPU_GPU_CV-WARN_CURRENT,VDD_CPU_GPU_CV-CRIT_CURRENT,VDD_CPU_GPU_CV-IN_VOLTAGE,VDD_CPU_GPU_CV-IN_CURRENT,VDD_CPU_GPU_CV-IN_POWER,VDD_CPU_GPU_CV-AVG_POWER,VDD_SOC-WARN_CURRENT,VDD_SOC-CRIT_CURRENT,VDD_SOC-IN_VOLTAGE,VDD_SOC-IN_CURRENT,VDD_SOC-IN_POWER,VDD_SOC-AVG_POWER,fan1-FAN_PROFILE,fan1-FAN_GOVERNOR,fan1-FAN_CONTROL,fan1-CURR_PWM,fan1-RPM_MEASURED,DISK-USED_SIZE,DISK-TOTAL_SIZE
21:25:10,MAXN_SUPER,True,1190.4,7,True,1190.4,10,True,1190.4,13,True,1190.4,15,True,729.6,4,True,729.6,1,306.0,0,204.0,15,1681,7620,22,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.2,99.0,104.5,44.3,99.0,104.5,44.0,99.0,104.5,43.4,99.0,104.5,44.2,-,104.5,5056,5056,4984,776,3867,3815,32760,32760,4976,136,676,654,32760,32760,4984,240,1196,1196,quiet,cont,close_loop,50,891,51966,250132
21:25:11,MAXN_SUPER,True,1190.4,5,True,1190.4,6,True,1190.4,5,True,1190.4,4,True,729.6,5,True,729.6,2,306.0,0,204.0,13,1682,7620,22,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.2,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.3,99.0,104.5,44.3,99.0,104.5,43.9,99.0,104.5,43.6,99.0,104.5,44.3,-,104.5,5056,5056,4992,720,3594,3814,32760,32760,4992,112,559,653,32760,32760,4992,232,1158,1196,quiet,cont,close_loop,57,1046,51966,250132
21:25:12,MAXN_SUPER,True,1190.4,6,True,1190.4,3,True,1190.4,3,True,1190.4,6,True,729.6,8,True,729.6,0,306.0,0,204.0,12,1682,7620,22,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.0,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.2,99.0,104.5,44.3,99.0,104.5,44.0,99.0,104.5,43.5,99.0,104.5,44.3,-,104.5,5056,5056,5000,720,3600,3813,32760,32760,4992,112,559,653,32760,32760,4992,232,1158,1196,quiet,cont,close_loop,57,1063,51966,250132
21:25:13,MAXN_SUPER,True,1190.4,14,True,1190.4,9,True,1190.4,7,True,1190.4,7,True,729.6,10,True,729.6,6,306.0,0,204.0,15,1682,7620,22,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.2,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.4,99.0,104.5,44.3,99.0,104.5,44.1,99.0,104.5,43.4,99.0,104.5,44.4,-,104.5,5056,5056,4984,768,3827,3813,32760,32760,4984,136,677,653,32760,32760,4984,240,1196,1196,quiet,cont,close_loop,57,1063,51966,250132
21:25:14,MAXN_SUPER,True,1113.6,6,True,1113.6,5,True,1113.6,5,True,1113.6,7,True,729.6,2,True,729.6,1,306.0,0,204.0,13,1681,7620,22,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.0,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.4,99.0,104.5,44.2,99.0,104.5,44.2,99.0,104.5,43.4,99.0,104.5,44.2,-,104.5,5056,5056,4992,728,3634,3813,32760,32760,4992,112,559,653,32760,32760,4992,232,1158,1195,quiet,cont,close_loop,57,1065,51966,250132
21:25:15,MAXN_SUPER,True,1113.6,13,True,1113.6,11,True,1113.6,13,True,1113.6,38,True,729.6,12,True,729.6,8,306.0,0,204.0,15,1698,7620,22,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.3,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.5,99.0,104.5,44.3,99.0,104.5,44.1,99.0,104.5,43.5,99.0,104.5,44.5,-,104.5,5056,5056,4968,872,4332,3815,32760,32760,4960,200,992,654,32760,32760,4968,248,1232,1196,quiet,cont,close_loop,50,907,51966,250132
21:25:16,MAXN_SUPER,True,1190.4,9,True,1190.4,13,True,1190.4,6,True,1190.4,8,True,729.6,7,True,729.6,0,306.0,0,204.0,14,1701,7620,22,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.4,99.0,104.5,44.2,99.0,104.5,43.9,99.0,104.5,43.4,99.0,104.5,44.4,-,104.5,5056,5056,4992,816,4066,3816,32760,32760,4984,128,637,654,32760,32760,4984,240,1196,1196,quiet,cont,close_loop,50,893,51966,250132
21:25:17,MAXN_SUPER,True,1190.4,6,True,1190.4,9,True,1190.4,5,True,1190.4,8,True,729.6,30,True,729.6,5,306.0,0,204.0,16,1701,7620,22,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.1,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.2,99.0,104.5,44.2,99.0,104.5,43.9,99.0,104.5,43.4,99.0,104.5,44.2,-,104.5,5056,5056,4984,840,4186,3818,32760,32760,4976,136,676,654,32760,32760,4976,240,1194,1196,quiet,cont,close_loop,57,1042,51966,250132
21:25:18,MAXN_SUPER,True,1190.4,6,True,1190.4,4,True,1190.4,4,True,1190.4,4,True,729.6,0,True,729.6,12,306.0,0,204.0,14,1709,7620,22,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.9,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.2,99.0,104.5,44.3,99.0,104.5,44.0,99.0,104.5,43.4,99.0,104.5,44.3,-,104.5,5056,5056,4992,800,3993,3819,32760,32760,4984,120,598,654,32760,32760,4992,232,1158,1195,quiet,cont,close_loop,57,1065,51966,250132
21:25:19,MAXN_SUPER,True,1190.4,7,True,1190.4,4,True,1190.4,3,True,1190.4,3,True,729.6,5,True,729.6,18,306.0,0,204.0,14,1721,7620,23,0,3810,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.2,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.3,99.0,104.5,44.3,99.0,104.5,43.9,99.0,104.5,43.4,99.0,104.5,44.4,-,104.5,5056,5056,4992,808,4033,3820,32760,32760,4984,120,598,654,32760,32760,4984,232,1156,1195,quiet,cont,close_loop,50,913,51966,250132
